DateHour;Dir1;Vel1;Dir2;Vel2;t
1.1.2010 0:0;60;8.1;63;10.1;734139
1.1.2010 0:10;65;8.4;63;10.1;734139.006944445
1.1.2010 0:20;61;8.3;63;10.1;734139.013888889
1.1.2010 0:30;61;8.6;63;10.1;734139.020833333
1.1.2010 0:40;62;8.5;63;10.1;734139.027777778
1.1.2010 0:50;59;8.6;63;10.1;734139.034722222
1.1.2010 1:0;60;8.7;66;10.4;734139.041666667
1.1.2010 1:10;59;8.8;66;10.4;734139.048611111
1.1.2010 1:20;58;9;66;10.4;734139.055555556
1.1.2010 1:30;59;9.1;66;10.4;734139.0625
1.1.2010 1:40;62;8.8;66;10.4;734139.069444445
1.1.2010 1:50;60;8.7;66;10.4;734139.076388889
1.1.2010 2:0;57;9.1;62;10.5;734139.083333333
1.1.2010 2:10;60;8.9;62;10.5;734139.090277778
1.1.2010 2:20;57;8.6;62;10.5;734139.097222222
1.1.2010 2:30;58;8.2;62;10.5;734139.104166667
1.1.2010 2:40;58;8.5;62;10.5;734139.111111111
1.1.2010 2:50;58;8.2;62;10.5;734139.118055556
1.1.2010 3:0;55;9.1;59;10.7;734139.125
1.1.2010 3:10;57;8.8;59;10.7;734139.131944445
1.1.2010 3:20;59;9;59;10.7;734139.138888889
1.1.2010 3:30;58;9;59;10.7;734139.145833333
1.1.2010 3:40;54;8.3;59;10.7;734139.152777778
1.1.2010 3:50;54;8.1;59;10.7;734139.159722222
1.1.2010 4:0;57;8.1;94;16.5;734139.166666667
1.1.2010 4:10;55;8;94;16.5;734139.173611111
1.1.2010 4:20;77;10.3;94;16.5;734139.180555556
1.1.2010 4:30;80;6.8;94;16.5;734139.1875
1.1.2010 4:40;84;8.3;94;16.5;734139.194444445
1.1.2010 4:50;80;7.6;94;16.5;734139.201388889
1.1.2010 5:0;77;7.1;74;11;734139.208333333
1.1.2010 5:10;72;8.6;74;11;734139.215277778
1.1.2010 5:20;73;9.2;74;11;734139.222222222
1.1.2010 5:30;73;9.4;74;11;734139.229166667
1.1.2010 5:40;72;8.7;74;11;734139.236111111
1.1.2010 5:50;76;8.6;74;11;734139.243055556
1.1.2010 6:0;77;8.3;78;10.3;734139.25
1.1.2010 6:10;83;8.2;78;10.3;734139.256944445
1.1.2010 6:20;81;8.6;78;10.3;734139.263888889
1.1.2010 6:30;86;8.3;78;10.3;734139.270833333
1.1.2010 6:40;82;7.9;78;10.3;734139.277777778
1.1.2010 6:50;80;8.7;78;10.3;734139.284722222
1.1.2010 7:0;74;8.6;81;10.2;734139.291666667
1.1.2010 7:10;75;8.1;81;10.2;734139.298611111
1.1.2010 7:20;75;8.2;81;10.2;734139.305555556
1.1.2010 7:30;74;8.3;81;10.2;734139.3125
1.1.2010 7:40;78;7.9;81;10.2;734139.319444445
1.1.2010 7:50;77;8.1;81;10.2;734139.326388889
1.1.2010 8:0;71;8.5;73;11.7;734139.333333333
1.1.2010 8:10;72;8;73;11.7;734139.340277778
1.1.2010 8:20;79;7.7;73;11.7;734139.347222222
1.1.2010 8:30;83;8;73;11.7;734139.354166667
1.1.2010 8:40;78;8.7;73;11.7;734139.361111111
1.1.2010 8:50;78;8.8;73;11.7;734139.368055556
1.1.2010 9:0;80;8.6;79;10.3;734139.375
1.1.2010 9:10;80;8.9;79;10.3;734139.381944445
1.1.2010 9:20;80;8.5;79;10.3;734139.388888889
